postal_code,city,department,insee_code,city_norm
01540,PERREX,AIN,1291,perrex
01260,LE PETIT ABERGEMENT,AIN,1292,le petit abergement
01430,PEYRIAT,AIN,1293,peyriat
01300,PEYRIEU,AIN,1294,peyrieu
01140,PEYZIEUX SUR SAONE,AIN,1295,peyzieux sur saone
01270,PIRAJOUX,AIN,1296,pirajoux
01120,PIZAY,AIN,1297,pizay
01130,PLAGNE,AIN,1298,plagne
01330,LE PLANTAY,AIN,1299,le plantay
01130,LE POIZAT,AIN,1300,le poizat
01310,POLLIAT,AIN,1301,polliat
01350,POLLIEU,AIN,1302,pollieu
01450,PONCIN,AIN,1303,poncin
01160,PONT D AIN,AIN,1304,pont d ain
01190,PONT DE VAUX,AIN,1305,pont de vaux
01290,PONT DE VEYLE,AIN,1306,pont de veyle
01460,PORT,AIN,1307,port
01550,POUGNY,AIN,1308,pougny
01250,POUILLAT,AIN,1309,pouillat
01300,PREMEYZEL,AIN,1310,premeyzel
01510,PREMILLIEU,AIN,1311,premillieu
01370,PRESSIAT,AIN,1312,pressiat
01280,PREVESSIN MOENS,AIN,1313,prevessin moens
01160,PRIAY,AIN,1314,priay
01510,PUGIEU,AIN,1316,pugieu
01250,RAMASSE,AIN,1317,ramasse
01390,RANCE,AIN,1318,rance
01990,RELEVANT,AIN,1319,relevant
01620,REPLONGES,AIN,1320,replonges
01250,REVONNAS,AIN,1321,revonnas
01600,REYRIEUX,AIN,1322,reyrieux
01190,REYSSOUZE,AIN,1323,reyssouze
01250,RIGNAT,AIN,1324,rignat
01800,RIGNIEUX LE FRANC,AIN,1325,rignieux le franc
01250,ROMANECHE,AIN,1327,romaneche
01400,ROMANS,AIN,1328,romans
01510,ROSSILLON,AIN,1329,rossillon
01260,RUFFIEU,AIN,1330,ruffieu
01450,ST ALBAN,AIN,1331,st alban
01380,ST ANDRE DE BAGE,AIN,1332,st andre de bage
01390,ST ANDRE DE CORCY,AIN,1333,st andre de corcy
01290,ST ANDRE D HUIRIAT,AIN,1334,st andre d huiriat
01240,ST ANDRE LE BOUCHOUX,AIN,1335,st andre le bouchoux
01240,ST ANDRE SUR VIEUX JONC,AIN,1336,st andre sur vieux jonc
01190,ST BENIGNE,AIN,1337,st benigne
01300,ST BENOIT,AIN,1338,st benoit
01600,ST BERNARD,AIN,1339,st bernard
01300,ST BOIS,AIN,1340,st bois
01300,ST CHAMP,AIN,1341,st champ
01120,STE CROIX,AIN,1342,ste croix
01380,ST CYR SUR MENTHON,AIN,1343,st cyr sur menthon
01000,ST DENIS LES BOURG,AIN,1344,st denis les bourg
01500,ST DENIS EN BUGEY,AIN,1345,st denis en bugey
01340,ST DIDIER D AUSSIAT,AIN,1346,st didier d aussiat
01600,ST DIDIER DE FORMANS,AIN,1347,st didier de formans
01140,ST DIDIER SUR CHALARONNE,AIN,1348,st didier sur chalaronne
01800,ST ELOI,AIN,1349,st eloi
01370,ST ETIENNE DU BOIS,AIN,1350,st etienne du bois
01140,ST ETIENNE SUR CHALARONNE,AIN,1351,st etienne sur chalaronne
01190,ST ETIENNE SUR REYSSOUZE,AIN,1352,st etienne sur reyssouze
01600,STE EUPHEMIE,AIN,1353,ste euphemie
01630,ST GENIS POUILLY,AIN,1354,st genis pouilly
01380,ST GENIS SUR MENTHON,AIN,1355,st genis sur menthon
01400,ST GEORGES SUR RENON,AIN,1356,st georges sur renon
01130,ST GERMAIN DE JOUX,AIN,1357,st germain de joux
01300,ST GERMAIN LES PAROISSES,AIN,1358,st germain les paroisses
01240,ST GERMAIN SUR RENON,AIN,1359,st germain sur renon
01630,ST JEAN DE GONVILLE,AIN,1360,st jean de gonville
01800,ST JEAN DE NIOST,AIN,1361,st jean de niost
01390,ST JEAN DE THURIGNEUX,AIN,1362,st jean de thurigneux
01640,ST JEAN LE VIEUX,AIN,1363,st jean le vieux
01560,ST JEAN SUR REYSSOUZE,AIN,1364,st jean sur reyssouze
01290,ST JEAN SUR VEYLE,AIN,1365,st jean sur veyle
01150,STE JULIE,AIN,1366,ste julie
01560,ST JULIEN SUR REYSSOUZE,AIN,1367,st julien sur reyssouze
01540,ST JULIEN SUR VEYLE,AIN,1368,st julien sur veyle
01250,ST JUST,AIN,1369,st just
01620,ST LAURENT SUR SAONE,AIN,1370,st laurent sur saone
01390,ST MARCEL,AIN,1371,st marcel
01510,ST MARTIN DE BAVEL,AIN,1372,st martin de bavel
01430,ST MARTIN DU FRENE,AIN,1373,st martin du frene
01160,ST MARTIN DU MONT,AIN,1374,st martin du mont
01310,ST MARTIN LE CHATEL,AIN,1375,st martin le chatel
01700,ST MAURICE DE BEYNOST,AIN,1376,st maurice de beynost
01800,ST MAURICE DE GOURDANS,AIN,1378,st maurice de gourdans
01500,ST MAURICE DE REMENS,AIN,1379,st maurice de remens
01560,ST NIZIER LE BOUCHOUX,AIN,1380,st nizier le bouchoux
01320,ST NIZIER LE DESERT,AIN,1381,st nizier le desert
01330,STE OLIVE,AIN,1382,ste olive
01240,ST PAUL DE VARAX,AIN,1383,st paul de varax
01230,ST RAMBERT EN BUGEY,AIN,1384,st rambert en bugey
01310,ST REMY,AIN,1385,st remy
01150,ST SORLIN EN BUGEY,AIN,1386,st sorlin en bugey
01340,ST SULPICE,AIN,1387,st sulpice
01560,ST TRIVIER DE COURTES,AIN,1388,st trivier de courtes
01990,ST TRIVIER SUR MOIGNANS,AIN,1389,st trivier sur moignans
01150,ST VULBAS,AIN,1390,st vulbas
01270,SALAVRE,AIN,1391,salavre
01580,SAMOGNAT,AIN,1392,samognat
01400,SANDRANS,AIN,1393,sandrans
01150,SAULT BRENAZ,AIN,1396,sault brenaz
01220,SAUVERNY,AIN,1397,sauverny
01480,SAVIGNEUX,AIN,1398,savigneux
01170,SEGNY,AIN,1399,segny
01470,SEILLONNAZ,AIN,1400,seillonnaz
01630,SERGY,AIN,1401,sergy
01190,SERMOYER,AIN,1402,sermoyer
01470,SERRIERES DE BRIORD,AIN,1403,serrieres de briord
01450,SERRIERES SUR AIN,AIN,1404,serrieres sur ain
01240,SERVAS,AIN,1405,servas
01560,SERVIGNAT,AIN,1406,servignat
01420,SEYSSEL,AIN,1407,seyssel
01250,SIMANDRE SUR SURAN,AIN,1408,simandre sur suran
01260,SONGIEU,AIN,1409,songieu
01580,SONTHONNAX LA MONTAGNE,AIN,1410,sonthonnax la montagne
01150,SOUCLIN,AIN,1411,souclin
01400,SULIGNAT,AIN,1412,sulignat
01420,SURJOUX,AIN,1413,surjoux
01260,SUTRIEU,AIN,1414,sutrieu
01510,TALISSIEU,AIN,1415,talissieu
01230,TENAY,AIN,1416,tenay
01110,THEZILLIEU,AIN,1417,thezillieu
01120,THIL,AIN,1418,thil
01710,THOIRY,AIN,1419,thoiry
01140,THOISSEY,AIN,1420,thoissey
01230,TORCIEU,AIN,1421,torcieu
01250,TOSSIAT,AIN,1422,tossiat
01600,TOUSSIEUX,AIN,1423,toussieux
01390,TRAMOYES,AIN,1424,tramoyes
01160,LA TRANCLIERE,AIN,1425,la trancliere
01370,TREFFORT CUISIAT,AIN,1426,treffort cuisiat
01600,TREVOUX,AIN,1427,trevoux
01140,VALEINS,AIN,1428,valeins
01660,VANDEINS,AIN,1429,vandeins
01160,VARAMBON,AIN,1430,varambon
01150,VAUX EN BUGEY,AIN,1431,vaux en bugey
01270,VERJON,AIN,1432,verjon
01560,VERNOUX,AIN,1433,vernoux
01330,VERSAILLEUX,AIN,1434,versailleux
01210,VERSONNEX,AIN,1435,versonnex
01170,VESANCY,AIN,1436,vesancy
01560,VESCOURS,AIN,1437,vescours
01570,VESINES,AIN,1439,vesines
01100,VEYZIAT,AIN,1440,veyziat
01430,VIEU D IZENAVE,AIN,1441,vieu d izenave
01260,VIEU,AIN,1442,vieu
01330,VILLARS LES DOMBES,AIN,1443,villars les dombes
01150,VILLEBOIS,AIN,1444,villebois
01270,VILLEMOTIER,AIN,1445,villemotier
01480,VILLENEUVE,AIN,1446,villeneuve
01250,VILLEREVERSURE,AIN,1447,villereversure
01200,VILLES,AIN,1448,villes
01320,VILLETTE SUR AIN,AIN,1449,villette sur ain
01800,VILLIEU LOYES MOLLON,AIN,1450,villieu loyes mollon
01440,VIRIAT,AIN,1451,viriat
01510,VIRIEU LE GRAND,AIN,1452,virieu le grand
01260,VIRIEU LE PETIT,AIN,1453,virieu le petit
01300,VIRIGNIN,AIN,1454,virignin
01460,VOLOGNAT,AIN,1455,volognat
01350,VONGNES,AIN,1456,vongnes
01540,VONNAS,AIN,1457,vonnas
01200,VOUVRAY,AIN,1458,vouvray
01360,CAMP DE LA VALBONNE,AIN,1900,camp de la valbonne
01310,CORGENON,AIN,1904,corgenon
01120,JAILLEUX,AIN,1906,jailleux
01120,LA LECHERE,AIN,1907,la lechere
01120,RAPAN,AIN,1908,rapan
01360,LA VALBONNE,AIN,1909,la valbonne
01120,CHANES,AIN,1910,chanes
01800,MARFOZ,AIN,1911,marfoz
01700,LE MAS RILLIER,AIN,1912,le mas rillier
01630,CERN SITE DE PREVESSIN,AIN,1913,cern site de prevessin
01000,BROU,AIN,1914,brou
01700,LES ECHETS,AIN,1915,les echets
02300,ABBECOURT,AISNE,2001,abbecourt
02800,ACHERY,AISNE,2002,achery
02200,ACY,AISNE,2003,acy
02340,AGNICOURT ET SECHELLES,AISNE,2004,agnicourt et sechelles
02190,AGUILCOURT,AISNE,2005,aguilcourt
02110,AISONVILLE ET BERNOVILLE,AISNE,2006,aisonville et bernoville
02820,AIZELLES,AISNE,2007,aizelles
02370,AIZY JOUY,AISNE,2008,aizy jouy
02240,ALAINCOURT,AISNE,2009,alaincourt
02320,ALLEMANT,AISNE,2010,allemant
02290,AMBLENY,AISNE,2011,ambleny
02200,AMBRIEF,AISNE,2012,ambrief
02190,AMIFONTAINE,AISNE,2013,amifontaine
02700,AMIGNY ROUY,AISNE,2014,amigny rouy
02600,ANCIENVILLE,AISNE,2015,ancienville
02800,ANDELAIN,AISNE,2016,andelain
02800,ANGUILCOURT LE SART,AISNE,2017,anguilcourt le sart
02320,ANIZY LE CHATEAU,AISNE,2018,anizy le chateau
02480,ANNOIS,AISNE,2019,annois
02500,ANY MARTIN RIEUX,AISNE,2020,any martin rieux
02360,ARCHON,AISNE,2021,archon
02130,ARCY STE RESTITUE,AISNE,2022,arcy ste restitue
02210,ARMENTIERES SUR OURCQ,AISNE,2023,armentieres sur ourcq
02860,ARRANCY,AISNE,2024,arrancy
02480,ARTEMPS,AISNE,2025,artemps
02330,ARTONGES,AISNE,2026,artonges
02270,ASSIS SUR SERRE,AISNE,2027,assis sur serre
02840,ATHIES SOUS LAON,AISNE,2028,athies sous laon
02490,ATTILLY,AISNE,2029,attilly
02420,AUBENCHEUL AUX BOIS,AISNE,2030,aubencheul aux bois
02500,AUBENTON,AISNE,2031,aubenton
02590,AUBIGNY AUX KAISNES,AISNE,2032,aubigny aux kaisnes
02820,AUBIGNY EN LAONNOIS,AISNE,2033,aubigny en laonnois
02300,AUDIGNICOURT,AISNE,2034,audignicourt
02120,AUDIGNY,AISNE,2035,audigny
02220,AUGY,AISNE,2036,augy
02000,AULNOIS SOUS LAON,AISNE,2037,aulnois sous laon
02360,LES AUTELS,AISNE,2038,les autels
02250,AUTREMENCOURT,AISNE,2039,autremencourt
02580,AUTREPPES,AISNE,2040,autreppes
02300,AUTREVILLE,AISNE,2041,autreville
02400,AZY SUR MARNE,AISNE,2042,azy sur marne
02290,BAGNEUX,AISNE,2043,bagneux
02140,BANCIGNY,AISNE,2044,bancigny
02160,BARBONVAL,AISNE,2045,barbonval
02000,BARENTON BUGNY,AISNE,2046,barenton bugny
02000,BARENTON CEL,AISNE,2047,barenton cel
02270,BARENTON SUR SERRE,AISNE,2048,barenton sur serre
02700,BARISIS,AISNE,2049,barisis
02170,BARZY EN THIERACHE,AISNE,2050,barzy en thierache
02850,BARZY SUR MARNE,AISNE,2051,barzy sur marne
02380,BASSOLES AULERS,AISNE,2052,bassoles aulers
02330,BAULNE EN BRIE,AISNE,2053,baulne en brie
02220,BAZOCHES SUR VESLES,AISNE,2054,bazoches sur vesles
02500,BEAUME,AISNE,2055,beaume
02300,BEAUMONT EN BEINE,AISNE,2056,beaumont en beine
02110,BEAUREVOIR,AISNE,2057,beaurevoir
02160,BEAURIEUX,AISNE,2058,beaurieux
02800,BEAUTOR,AISNE,2059,beautor
